o,d,km,tau_min,tau_max,tau_bar,ratio,profiles
17,2,3.902649402618408,8.449999809265137,21.858333587646484,16.383333206176758,2.586785078048706,37
32,2,5.343008995056152,12.100000381469727,31.200000762939453,21.149999618530273,2.57851243019104,38
14,0,3.8624160289764404,8.875,22.883333206176758,15.483333587646484,2.5784037113189697,45
13,10,1.2874720096588135,2.7166666984558105,6.991666793823242,5.599999904632568,2.5736196041107178,48
4,20,4.828020095825195,10.383333206176758,26.683332443237305,18.316667556762695,2.5698232650756836,41
16,2,4.522245407104492,9.125,23.399999618530273,16.78333282470703,2.5643835067749023,45
9,11,1.6737135648727417,3.9250001907348633,10.033332824707031,7.433333396911621,2.556262969970703,45
5,8,5.793623924255371,11.0,28.066667556762695,19.191665649414062,2.5515153408050537,44
42,35,1.2874720096588135,2.758333206176758,7.0333333015441895,4.183333396911621,2.549849033355713,27
4,22,4.570525646209717,8.925000190734863,22.75,17.16666603088379,2.5490195751190186,35
9,6,3.701482057571411,7.483333587646484,19.075000762939453,14.800000190734863,2.5489978790283203,43
6,7,1.2874720096588135,3.066666603088379,7.816666603088379,5.949999809265137,2.54891300201416,46
26,4,6.244239330291748,11.899999618530273,30.28333282470703,21.100000381469727,2.5448179244995117,29
16,3,5.970651626586914,12.183333396911621,30.899999618530273,19.549999237060547,2.5362517833709717,44
8,6,2.7358779907226562,6.258333206176758,15.858333587646484,11.866666793823242,2.5339548587799072,41
3,16,5.874091148376465,12.616666793823242,31.96666717529297,20.883333206176758,2.5336856842041016,40
14,5,1.2874720096588135,2.883333444595337,7.300000190734863,5.266666889190674,2.531791925430298,47
15,1,4.345218181610107,9.858333587646484,24.950000762939453,18.016666412353516,2.530853748321533,37
23,3,1.2713786363601685,2.75,6.9583330154418945,4.900000095367432,2.5303030014038086,48
20,5,5.310822010040283,10.75,27.16666603088379,20.566667556762695,2.5271317958831787,35
0,33,3.025559186935425,7.933333396911621,20.016666412353516,14.899999618530273,2.523109197616577,34
15,23,1.8346476554870605,4.25,10.708333015441895,7.9666666984558105,2.5196077823638916,38
20,4,4.828020095825195,11.300000190734863,28.433332443237305,21.15833282470703,2.5162241458892822,36
35,48,1.8346476554870605,2.9666666984558105,7.449999809265137,4.199999809265137,2.5112359523773193,32
3,11,5.632689952850342,11.600000381469727,29.100000381469727,22.78333282470703,2.5086207389831543,40
6,9,3.701482057571411,7.8416666984558105,19.66666603088379,14.666666984558105,2.507970094680786,41
1,18,5.359102249145508,10.0,25.016666412353516,16.46666717529297,2.50166654586792,41
16,0,4.023349761962891,7.25,18.133333206176758,12.633333206176758,2.5011494159698486,48
19,18,3.6532018184661865,5.958333492279053,14.899999618530273,10.816666603088379,2.500699281692505,38
16,6,5.4717559814453125,10.366666793823242,25.883333206176758,17.799999237060547,2.4967844486236572,45
4,13,2.6875977516174316,5.383333206176758,13.433333396911621,9.0,2.4953560829162598,42
5,15,4.184284210205078,8.516666412353516,21.241666793823242,14.266666412353516,2.494129180908203,39
5,13,1.7059004306793213,2.799999952316284,6.983333110809326,5.7833333015441895,2.4940476417541504,46
11,1,2.7358779907226562,5.683333396911621,14.133333206176758,10.933333396911621,2.4868035316467285,44
22,5,4.731459617614746,11.333333015441895,28.16666603088379,22.649999618530273,2.4852941036224365,31
15,14,4.184284210205078,7.800000190734863,19.383333206176758,15.0,2.4850425720214844,36
30,24,1.544966459274292,4.516666889190674,11.216666221618652,7.75,2.4833946228027344,36
6,20,2.301356315612793,5.316666603088379,13.199999809265137,9.283333778381348,2.4827585220336914,42
9,16,1.5288729667663574,3.3499999046325684,8.283333778381348,6.5333333015441895,2.4726369380950928,47
11,4,4.329124450683594,9.233333587646484,22.816665649414062,16.316667556762695,2.471118927001953,45
2,14,2.8968119621276855,5.599999904632568,13.833333969116211,10.666666984558105,2.470238208770752,45
37,4,2.9289987087249756,8.283333778381348,20.458332061767578,14.625,2.469818592071533,27
31,2,2.91290545463562,7.366666793823242,18.183334350585938,13.899999618530273,2.4683258533477783,30
17,4,4.184284210205078,8.741666793823242,21.566667556762695,15.566666603088379,2.467111587524414,41
4,15,2.7358779907226562,5.150000095367432,12.699999809265137,9.466666221618652,2.46601939201355,45
4,37,3.218679904937744,8.083333015441895,19.933332443237305,13.141666412353516,2.4659793376922607,38
12,20,3.057745933532715,5.050000190734863,12.433333396911621,9.516666412353516,2.4620461463928223,44
1,15,4.441778182983398,9.300000190734863,22.883333206176758,16.299999237060547,2.460573434829712,41
21,3,5.359102249145508,11.100000381469727,27.25,18.549999237060547,2.4549548625946045,39
10,28,4.441778182983398,8.141666412353516,19.983333587646484,14.966666221618652,2.4544525146484375,40
6,24,6.759228229522705,13.0,31.883333206176758,25.03333282470703,2.452564001083374,29
